state,year,month,ndvi
New Mexico,2009,11,0.23587598999519696
New Mexico,2009,12,0.20568801063958622
New Mexico,2010,1,0.16517654224083644
New Mexico,2010,2,0.14234183856861327
New Mexico,2010,3,0.18745227623355035
New Mexico,2010,4,0.23113137955237667
New Mexico,2010,5,0.2605331695278446
New Mexico,2010,6,0.2718409672307681
New Mexico,2010,7,0.3185663626853819
New Mexico,2010,8,0.33073082377493385
New Mexico,2010,9,0.30124185512328705
New Mexico,2010,10,0.2758920057270486
New Mexico,2010,11,0.2504965668692951
New Mexico,2010,12,0.23547638056303846
New Mexico,2011,1,0.19898546211852716
New Mexico,2011,2,0.20025270157636757
New Mexico,2011,3,0.20400768715700252
New Mexico,2011,4,0.20336219189220806
New Mexico,2011,5,0.20668624966274288
New Mexico,2011,6,0.21451474579770438
New Mexico,2011,7,0.23667474351146986
New Mexico,2011,8,0.27392732914242524
New Mexico,2011,9,0.2667094436404258
New Mexico,2011,10,0.24586447211285356
New Mexico,2011,11,0.23424913582032064
New Mexico,2011,12,0.16935317309890305
New Mexico,2012,1,0.18781185781957752
New Mexico,2012,2,0.18892337503006987
New Mexico,2012,3,0.19899353540663547
New Mexico,2012,4,0.21939613094532776
New Mexico,2012,5,0.2351814193293612
New Mexico,2012,6,0.2314936288404491
New Mexico,2012,7,0.2528534700423821
New Mexico,2012,8,0.2617232462844375
New Mexico,2012,9,0.2556916198735799
New Mexico,2012,10,0.23514513665327688
New Mexico,2012,11,0.2262699395722385
New Mexico,2012,12,0.20385503624452486
New Mexico,2013,1,0.18146477947741355
New Mexico,2013,2,0.19626089885961573
New Mexico,2013,3,0.19631843053588743
New Mexico,2013,4,0.1966112790000222
